Name,Rank,Global Score from US News,Image,Description,City,Country,Country Code
University of Pennsylvania,15,84.0,https://www.usnews.com/object/image/00000147-d5c9-d2c9-a37f-ddffc0770000/$140814_upenn_courtyard_EDITORIALONLY?size=responsive640&update-time=1408993165080,"The University of Pennsylvania, also known as Penn, was founded in 1740. The private, Ivy League institution is located in West Philadelphia, and nearly half of its full-time students study at the undergraduate level. Around 19 percent of the total student body is international, with students from more than 100 countries. In a recent year, more than 40 percent of Penn's international undergraduates hailed from Asia, 20 percent were from Europe and nearly 15 percent were from Canada and Mexico. The university uses a semester-based academic calendar and the language of instruction is English. First-year undergraduates are required to live on campus and may continue to do so as upperclassmen, although housing is not guaranteed after the first year. Some on-campus housing is available for graduate students as well.

Penn comprises a dozen schools that focus on arts and sciences; business; communication; dental medicine; design; education; engineering and applied science; law; medicine; nursing; social policy and practice; and veterinary medicine. Four of the schools offer undergraduate degrees and all 12 have graduate offerings. The medical school is affiliated with the Hospitals of the University of Pennsylvania-Penn Presbyterian, which are highly ranked in several specialties. Penn’s research budget was more than $875 million in a recent year. The university’s Center for Undergraduate Research and Fellowships helps students find research projects that suit their interests, as well as funding resources. Among the university’s more than 130 research institutes and centers are the Center for Cognitive Neuroscience, the Leonard Davis Institute of Health Economics and the Penn Institute for Urban Research.",Philadelphia,United States,USA
Cornell University,16,83.6,https://www.usnews.com/object/image/00000158-2636-d7c3-a3ff-f7767d480000/$161102_Cornell?size=responsive640&update-time=1479223700443,"Cornell University is a private institution that was founded in 1865. The Ivy League school is located in Ithaca, New York, which is about 220 miles northwest of New York City. In a recent year, Cornell enrolled more than 21,000 students, about 65 percent of whom were studying at the undergraduate level. The same year, around 20 percent of the total student body was international. Domestic and international students pay the same tuition at Cornell, and various types of university student housing are offered, including themed residence halls as well as apartments for graduate and professional students.

The university has 14 colleges and schools, including seven undergraduate divisions in addition to graduate and professional divisions located in Ithaca, New York City and Doha, Qatar. The undergraduate colleges offer studies in agriculture and life sciences; architecture, art and planning; arts and sciences; business; engineering; human ecology; and industrial and labor relations. The university follows a semester-based academic calendar, and English is the language of instruction. Cornell offers English language courses and other resources, such as a language partner program, for international students. Research opportunities are available for both undergraduate and graduate Cornell students. One such offering that undergrads can take advantage of is the Food Science Summer Scholar Program, a 10-week program that provides students with stipends. A sampling of the university's research centers includes the Cornell Center for Comparative and Population Genomics, the Center for the Study of Inequality and the Center for Advanced Computing.",Ithaca,United States,USA
Princeton University,16,83.6,https://www.usnews.com/object/image/00000155-82f6-d393-a9f5-fafea4040000/$160624_princeton?size=responsive640&update-time=1466789902421,"Princeton University was founded in 1746, making it one of the oldest higher education institutions in the U.S. The private university was originally called the College of New Jersey, but its name was changed to Princeton in 1896. The university is located in the town of Princeton, New Jersey, situated around 50 miles southwest of New York City. Some 8,000 students attend Princeton and nearly two-thirds of them study at the undergraduate level. Around 12 percent of undergraduates and more than 40 percent of graduate students at Princeton are international. Housing is guaranteed for undergraduate students for all four years, and nearly all undergraduates reside on campus. Princeton has six undergraduate residential colleges – communities that offer academic and social programs for students. A large number of graduate students, around 70 percent, also live in university housing.

The Ivy League university is made up of an undergraduate college, a graduate school, the School of Architecture, the highly ranked School of Engineering and Applied Science and the Woodrow Wilson School of Public and International Affairs. Princeton undergrads can choose from more than 30 academic concentrations. The primary language of instruction is English, and the academic calendar is semester-based. Research at Princeton is conducted across four broad disciplines: engineering and applied sciences, humanities, natural sciences and social sciences. The university is affiliated with two national laboratories, the U.S. Department of Energy’s Princeton Plasma Physics Laboratory and the National Oceanic and Atmospheric Administration’s Geophysical Fluid Dynamics Laboratory. The latter lab specializes in climate research and modeling.",Princeton,United States,USA
University of California San Francisco,16,83.6,https://www.usnews.com/object/image/00000157-f7fb-d7d1-aff7-f7fbfb590000/$161024_UCSF?size=responsive640&update-time=1558361309498,"The University of California—San Francisco is a public institution that was founded in 1864. The health sciences-focused university has facilities throughout San Francisco and only offers graduate-level programs. The school has three main locations – the Parnassus, Mission Bay and Mount Zion campuses. In a recent year, the school enrolled more than 3,000 students. Tuition costs are higher for non-California residents, and student housing is available near the university's Parnassus and Mission Bay campuses.

The university, which follows a quarter-based academic calendar, has four professional schools – dentistry, medicine, nursing and pharmacy – as well as a graduate division, which offers master's and doctoral programs, two certificate programs and a physical therapy program. A few graduate programs are offered through UCSF Global Health Sciences, an arm of the university that focuses on international health issues. The language of instruction at the university is English.

The UCSF Medical Center is one of the university's teaching hospitals and is highly ranked in several specialties. Other medical institutions affiliated with the university include the UCSF Benioff Children’s Hospitals, the UCSF Dental Center and the San Francisco VA Medical Center. UCSF receives more research funding from the National Institutes of Health than any other public school in the U.S. The university has research partnerships with companies such as Pfizer and GE Healthcare, as well as with medical institutions around the world like the Kenya Medical Research Institute and Aga Khan Health Services–Tanzania.",San Francisco,United States,USA
University of Toronto,16,83.6,https://www.usnews.com/object/image/00000155-8341-d393-a9f5-fbe9b3ad0000/$160624_university_of_toronto?size=responsive640&update-time=1558360216697,"The University of Toronto is a public institution that was founded in 1827. Around 80 percent of its students study at the undergraduate level. The school has three campuses – St. George, Mississauga and Scarborough – located in and around Toronto. Roughly 95 percent of the university’s graduate students study at the downtown St. George campus, as do upward of 60 percent of its undergraduates. Thousands of foreign students from more than 160 countries and regions attend the University of Toronto. In a recent year, the top countries of origin for non-Canadian students were China, India and the U.S. Tuition is higher for international students. 

The university comprises academic divisions focused on a range of disciplines, such as applied science and engineering, management and public health. All told, the university offers some 700 undergraduate programs and more than 200 master’s and doctoral programs. The primary language of instruction is English. The academic calendar varies between the three campuses. Student housing is available on each campus, and accommodations are guaranteed for all first-year undergraduate students. The university has more than 44 libraries that house 19 million-plus physical volumes. One major innovation that came out of the University of Toronto is insulin, which researchers discovered in the early 1920s. The university’s Banting & Best Diabetes Centre is named after two of these researchers, one of whom eventually went on to win the Nobel Prize in physiology or medicine for this work.",Toronto,Canada,CAN
National University of Singapore,20,83.4,N/A,,Singapore,Singapore,SGP
University of California San Diego,21,83.2,https://www.usnews.com/object/image/00000148-a3d3-d3b0-a3fc-b3dbb41f0000/$140923_UniversityofCaliforniaSanDiego?size=responsive640&update-time=1442948636561,"The University of California—San Diego is a public institution that was established in 1960. It is located in the La Jolla community of San Diego, near the Pacific Ocean. More than 75 percent of the student body studies at the undergraduate level. The school offers more than 100 undergraduate majors across a range of disciplines. UCSD undergrads are assigned to one of six residential colleges – smaller academic and social communities within the university. Incoming undergraduates and transfer students are guaranteed housing for two years. Accommodations are also available for graduate students. Out-of-state students must pay a supplemental tuition on top of the tuition in-state students pay. UCSD follows a quarter-based academic calendar, and English is the language of instruction.

In addition to the six undergraduate colleges, UCSD comprises five academic divisions and five graduate and professional schools. Highly ranked UCSD graduate schools include the School of Medicine and the Jacobs School of Engineering. UC San Diego Medical Center - UC San Diego Health, a teaching hospital, is nationally ranked in a dozen adult specialties. One of the university's academic departments is the Scripps Institution of Oceanography, which is dedicated to ocean, earth and atmospheric science. Scripps researchers focus their efforts on subjects such as waves and circulation, global environmental monitoring and marine life. UCSD’s annual research funding has surpassed $1 billion several times in recent years. The university also operates organized research units aimed at promoting multidisciplinary research, such as the Center for Energy Research, the Kavli Institute for Brain and Mind and the San Diego Supercomputer Center.",La Jolla,United States,USA
University of Michigan,21,83.2,https://www.usnews.com/object/image/00000155-8352-d3ec-a9fd-cbdf64dd0000/$160624_university_of_michigan?size=responsive640&update-time=1467820566023,"The University of Michigan—Ann Arbor is a public institution that was founded in 1817 and made the city of Ann Arbor its permanent home in 1837. The university’s campus is located just less than 45 miles west of Detroit. More than 40,000 students attend the University of Michigan—Ann Arbor, and around 65 percent of them study at the undergraduate level. The institution hosts international students from more than 110 countries. Tuition costs are higher for out-of-state students. The academic calendar is based on a trimester system at many but not all of the university’s schools. The primary language of instruction is English, but the university teaches more than 65 foreign languages. The university guarantees housing for incoming freshmen as well as offers a variety of housing options for all students.

The university comprises 19 schools and colleges, including schools of business, pharmacy and social work. Some of the most popular majors for undergraduates are business, psychology and economics. Among the highly ranked graduate schools at the university are the College of Engineering, the Law School and the Stephen M. Ross School of Business. The University of Michigan Hospitals and Health Centers are highly ranked in several specialties. The university's research expenditures have topped $1 billion in the last several years; the discipline that receives the highest percentage of the research dollars is medical sciences. Among the many research centers at the university are the Chronic Pain and Fatigue Research Center, the Ground Robotics Research Center and the Addiction Research Center.",Ann Arbor,United States,USA
California Institute of Technology,23,82.9,https://www.usnews.com/object/image/0000014e-d0ea-d0b6-afdf-d0fa07120000/$150727Caltech?size=responsive640&update-time=1438024214020,"The California Institute of Technology, known as Caltech, was founded in 1891 as Throop University and received its current name in 1920. The science and engineering-focused school is located in Pasadena, California, roughly 11 miles northeast of Los Angeles. There are roughly 2,200 students at Caltech, with around 55 percent of them studying at the graduate level. The student-faculty ratio is very low, at 3:1. More than one-fourth of Caltech's total enrollment is international. The school’s academic calendar is based on the quarter system and English is the language of instruction.

 Caltech has six academic divisions, many of which have highly ranked graduate programs: biology and biological engineering; chemistry and chemical engineering; engineering and applied science; geology and planetary sciences; humanities and social sciences; and physics, mathematics and astronomy. The university guarantees housing for all first-year undergraduate and graduate students. Instead of typical undergraduate residence halls like those found at many U.S. universities, there are eight undergraduate houses, each with its own government and special traditions. Newly admitted graduate students are given priority for housing in the on-campus Catalina Apartments. 

 Around 80 percent of undergraduates participate in research during their time at Caltech. The university offers a Summer Undergraduate Research Fellowships program where students write research proposals, collaborate with mentors and give presentations on their projects. Caltech has around 50 research institutes and centers, such as the Resnick Sustainability Institute and the Tectonics Observatory. Additionally, the university operates NASA’s Jet Propulsion Laboratory, a center for robotic exploration of the solar system that engages both faculty and students.",Pasadena,United States,USA
Northwestern University,24,81.5,https://www.usnews.com/object/image/00000158-6894-d46e-a7fe-6cb7c1ad0000/$161115_Northwestern?size=responsive640&update-time=1479223601773,"Northwestern University is a private institution that was founded in 1851. The university has three campuses – the main one in Evanston, Illinois; one in nearby Chicago; and one in Doha, Qatar. The city of Evanston is located around 14 miles north of Chicago, on the shore of Lake Michigan. Tuition is the same for domestic and international students, and international undergraduate applicants are permitted to apply for need-based aid from Northwestern. International graduate students pursuing Master of Fine Arts and doctoral degrees can also receive institutional aid. University housing is available for both undergraduate and graduate students, and almost 70 percent of the undergraduate student body lives on campus.

The university has a dozen schools and colleges: arts and sciences; communication; education and social policy; engineering and applied science; journalism, media and integrated marketing communications; law; management; medicine; music; professional studies; a graduate school; and Northwestern University in Qatar. Northwestern follows a quarter-based academic calendar, and the primary language of instruction is English. A sampling of the university's many research centers includes the Northwestern University/Art Institute of Chicago Center for Scientific Studies in the Arts, the Center for Cancer Nanotechnology Excellence and the Northwestern Center for Water Research. In a recent year, the university earned more than $650 million in sponsored research awards. The institution's Office of Undergraduate Research helps students take advantage of various research opportunities, such as the Summer Undergraduate Research Grants program, which supports students for eight weeks of full-time summer work under faculty supervision.",Evanston,United States,USA
